case_id,n_patches,mean_tumor_content,tumor_heterogeneity,tumor_dispersion,frac_high_tumor,content_entropy
C3L-00017,20097,0.14305327058950817,0.0077655326890005705,4886.37224043805,0.6077524008558491,0.5387238122793573
C3L-00102,8599,0.3730857744786972,0.02486087315508309,5398.795283411785,0.9970926851959531,0.7969128521379082
C3L-00189,14082,0.3541514986752723,0.018696661452881264,14259.003826039449,0.9946030393410027,0.7454459387969323
C3L-00277,18981,0.215392814360853,0.00945975495988708,5156.4051327047355,0.9010589536905327,0.6064905340601369
C3L-00395,5743,0.23380287502291164,0.015846647663921458,2954.9100296855713,0.8890823611352952,0.6913747989591519
C3L-00401,13672,0.28705973938635276,0.020033037791504366,4413.341842750637,0.8907255705090696,0.7639241285055499
C3L-00589,8090,0.4453061340332989,0.029065411155733606,8582.430678117775,0.9988875154511743,0.831448047692224
C3L-00598,12624,0.3312498514271366,0.021267005655285373,5263.54264865475,0.966254752851711,0.7750975203636725
C3L-00599,6879,0.1729374710473958,0.009056780317118849,3790.2461739853743,0.7681349033289723,0.5805345872186694
C3L-00622,10554,0.3348201939686836,0.026985129221930262,10941.949699450846,0.9839871138904681,0.7925099320790933
C3L-00625,13109,0.30444353837393423,0.02230972313460325,11384.56388031449,0.9784880616370433,0.7507837617996719
C3L-00640,9261,0.23678856758209124,0.014104987225843114,3659.3138297762976,0.861354065435698,0.6892536799395695
C3L-00819,7272,0.43497365640478397,0.026529921598706818,4416.259231167251,0.9998624862486248,0.8112040480878182
C3L-00881,10650,0.3017843448279749,0.019564070200003128,5218.778057705127,0.9693896713615023,0.7425123447460091
C3L-00885,8432,0.34532173848189623,0.01577826078954986,4345.116737800155,0.9951375711574952,0.7172814819874296
C3L-00928,4647,0.4663365871918273,0.029825086105485177,2943.4136132380454,0.9978480740262535,0.8415115958167275
C3L-01031,24980,0.4498648821166735,0.029007627696975125,7375.735815251146,0.9882305844675741,0.8317486795113005
C3L-01032,9586,0.36093225280837626,0.023433365038931342,5064.539817502426,0.9888378885875234,0.7884358031200316
C3L-01036,13718,0.28449035048857385,0.012618331675229064,5951.143352557579,0.9854206152500364,0.6589125057106493
C3L-01037,24903,0.2863458926824505,0.015093966942745979,7079.482398150036,0.9751435570011645,0.6938716558351469
C3L-01051,11702,0.27691681177720334,0.016948989657805322,5117.253612260013,0.9677832849085627,0.7037343836483742
C3L-01052,29862,0.3394450799451446,0.02053502723709988,6790.655977592808,0.976558837318331,0.7707664427262844
C3L-01053,13053,0.3077945678020326,0.01534972697515466,4686.948254297047,0.9862866773921704,0.7030590889918993
C3L-01054,16641,0.31455713932583035,0.020074018988261708,5961.736337107135,0.9743404843458927,0.7496937350321792
C3L-01124,15229,0.319072177140126,0.016648745469409407,5791.2830219338575,0.985159892310723,0.7230228939335932
C3L-01158,17075,0.2771571578002517,0.016805462465380935,5787.301495644467,0.9612298682284041,0.7084126944995599
C3L-01160,17719,0.3218551571154791,0.01944522821081604,6274.134104338127,0.9808679948078334,0.749686644323109
C3L-01328,6323,0.44536807015832797,0.014688892260531633,4228.416561682409,0.9985766250197691,0.7082564976775713
C3L-01453,10352,0.4860966884519565,0.02431870804400743,3596.612156555612,0.9997102009273571,0.8009586258812041
C3L-01598,2495,0.40582836965819397,0.02079406311378007,2457.516370567192,0.9935871743486974,0.7776567080168258
C3L-01637,3979,0.3785901223839483,0.028303113002110497,2577.5100601322074,0.9924604171902488,0.818979908570187
C3L-01662,7906,0.38767923727299847,0.03849908688383935,3957.7289517906074,0.9757146471034657,0.8692351921093541
C3L-01687,19629,0.3293699515591841,0.024817654464300162,16815.671088579853,0.9771256813897804,0.7859322458312391
C3L-01689,21321,0.45552353276072,0.023072764492607006,14799.962369131717,0.998358425965011,0.7985069611672724
C3L-01702,18619,0.41528403540175146,0.030618932591433584,16821.037413636175,0.9904935818250175,0.8441615915291395
C3L-01703,10251,0.36586515341325104,0.02013258233892737,14387.570881131696,0.9973661106233538,0.7577929258516432
C3L-01971,4022,0.2285407368567958,0.011974058439738089,2186.9617021879235,0.9065141720537047,0.6524081481626989
C3L-02109,6460,0.3222069905943961,0.020400644210974997,12328.349377019429,0.9857585139318885,0.7518769393438359
C3L-02112,6899,0.35694060989932697,0.01770568918276677,13915.92697831845,0.9971010291346571,0.7339710560647876
C3L-02115,18799,0.310019004706154,0.021237987743625286,14933.596762448236,0.9836693441140486,0.742089344545398
C3L-02116,6527,0.330103520932932,0.022702745505418273,12438.84537142207,0.990500995863337,0.7553058398605352
C3L-02118,8337,0.42898478307106075,0.026117698326641486,14283.184279434656,0.9979608972052297,0.8179502756786906
C3L-02463,7617,0.3934867668080646,0.024838167416384477,2846.0817778371115,0.9925167388735723,0.8050568632077854
C3L-02604,1332,0.5087658023299487,0.019968764656149662,2808.769382244438,0.9992492492492493,0.7688123292929551
C3L-02606,10309,0.42943081168158115,0.0240558589832226,13155.180128648019,0.9987389659520807,0.8036373136045742
C3L-02610,9592,0.4563672270736905,0.023709217979118152,14485.258168649947,0.9989574645537949,0.803469985726609
C3L-02613,15577,0.4973212812661956,0.02079944011558499,14360.973792566534,0.9997432111446363,0.7788736199747626
C3L-02701,40133,0.3719949953220351,0.020619799067295996,16448.80761458976,0.9977076221563302,0.7606886527276642
C3L-02809,8672,0.3621407071986782,0.014974223842431716,3492.4388055110726,0.9975784132841329,0.7071990609136279
C3L-02890,10076,0.39931956082715575,0.021980925484760466,15088.732944049583,0.9961294164350933,0.7865350657728887
C3L-02897,3145,0.4531218345053435,0.03706747312284853,5007.5159188555235,0.9987281399046105,0.8718958791792089
C3L-02899,11554,0.4164099819475863,0.02495335108849217,5256.121552806886,0.9990479487623334,0.8029308767540253
C3L-03123,12023,0.4837079216388159,0.029102374507583628,15263.207588627976,0.9977543042501872,0.8430008475399727
C3L-03126,3244,0.3888247422506498,0.02076073421281821,12489.350218135352,0.9966091245376079,0.7712423219057452
C3L-03129,10364,0.33172980726479806,0.018683883736150722,12682.336196166783,0.990254727904284,0.741991423286011
C3L-03350,9554,0.2935183383918237,0.013558302737323835,17150.148686965105,0.9871258111785639,0.6663539467957599
C3L-03356,16430,0.3890175550092268,0.02519270602522214,14980.59457901128,0.9913572732805843,0.808618284193175
C3L-03371,21959,0.3041745280416303,0.015751709633078162,6576.699130466643,0.9603351700897127,0.7155263048440953
C3L-03388,10354,0.36629695421085123,0.019412252343258274,5705.022153784297,0.9946880432683021,0.7521417145998658
C3L-03394,6614,0.3587331484759912,0.025357279991406745,4160.236007781834,0.9860901118838826,0.803049499138995
C3L-03395,15541,0.2766447042588874,0.014172905547897977,5970.788953979172,0.9613924457885593,0.6885160834824264
C3L-03624,12109,0.3249271247529483,0.015260036771871321,15677.94792627078,0.988768684449583,0.7015699523574809
C3L-03628,13961,0.4389826162670806,0.020127166594499868,13953.691196036716,0.9992837189313086,0.7708284781846635
C3L-03630,6627,0.3929452608039166,0.03144433530003099,14110.788341344662,0.9900407424173834,0.841700782826387
C3L-03632,5012,0.33895326075155263,0.012262479612902472,14395.017383269425,0.9962090981644054,0.6664788551701704
C3L-03635,13949,0.2841302528283025,0.013017698741244171,15641.636797787392,0.991325543049681,0.6495963049433103
C3L-03639,16784,0.4582284027095742,0.026825669857094475,13458.504167231156,0.993148236415634,0.8103008152555892
C3L-03743,10899,0.3601422014702886,0.02246359613384477,4091.6861113946406,0.9891733186530874,0.7842041521892555
C3L-04027,36296,0.278261390956932,0.012251034966836119,13531.958642708896,0.9792263610315186,0.6572310687926902
C3L-04072,1438,0.33702988405511175,0.034670112948519766,2138.8442988702327,0.9819193324061196,0.8090053153050815
C3L-04080,5094,0.4248394356871592,0.03138401929996881,3543.1955010542742,0.9941107184923439,0.8518464860126959
C3L-04473,12219,0.4300163712891232,0.02398059327580962,11605.538627607677,0.997954006056142,0.7982304962664292
C3L-04475,14861,0.3683800260554484,0.018891868471258066,16014.64252667878,0.997779422649889,0.747234426101945
C3L-04479,9094,0.3310332428000348,0.019467717707959215,12548.776258958278,0.9939520563008577,0.7225471916875422
C3L-04495,2521,0.36839238866773544,0.019043696303568725,2171.8037964183527,0.9968266560888537,0.7412397440247767
C3L-04848,2285,0.3548556631255724,0.015527021044028061,12858.15794283166,0.9991247264770241,0.7117877697916489
C3L-04853,1484,0.30168418684155957,0.02180828122084856,1734.5664386050198,0.9622641509433962,0.7622451976597461
C3N-00198,19040,0.36617444038719815,0.023740737569275805,15705.444023131675,0.9972163865546219,0.7827853062205937
C3N-00249,9494,0.34237847663109017,0.015294811284396137,11469.363769136313,0.9942068674952602,0.7115907775552924
C3N-00302,75410,0.2021472244567432,0.024262843863716632,15540.580164154368,0.7096936745789683,0.7037029021045179
C3N-00303,54928,0.20600072342023187,0.02535056980602042,15706.043904852657,0.6981321002039033,0.71811702403785
C3N-00436,4414,0.3167910567924927,0.017119578286101597,9467.27642177321,0.9891255097417309,0.7185839458967965
C3N-00511,4695,0.2827389136805765,0.01255648899703872,11433.012918311731,0.9855165069222577,0.6578238223207742
C3N-00512,2052,0.3029845759552154,0.010627064946553688,6413.536162880624,0.9897660818713451,0.6326581192274114
C3N-00513,1988,0.2824053410028428,0.010956415871776204,6102.034222357543,0.9894366197183099,0.6309837004536376
C3N-00514,3011,0.28264280044876117,0.011002952922854609,9844.168450396875,0.9960146130853537,0.6262953083517189
C3N-00516,2993,0.3139012170786886,0.01405324159208024,7148.088015373368,0.9936518543267624,0.6852268839322039
C3N-00517,2713,0.2760738081944481,0.010016977979082492,8222.39594577073,0.9948396608920015,0.6066743218601772
C3N-00518,4380,0.31629640443429147,0.015368632905829058,7975.139196959188,0.9926940639269406,0.7034241131585167
C3N-00709,4617,0.2759574961158487,0.015810760488616613,3652.130895659116,0.9638293264024258,0.6985243801119531
C3N-00954,26564,0.43612459075183213,0.021038875699964904,15660.413501554765,0.9990588766751995,0.7773317734059616
C3N-00957,11954,0.41266661710938685,0.01838656730046101,13085.797173193481,0.9979923038313535,0.7540809211908842
C3N-01011,14629,0.3346292624219878,0.022491846299738147,12080.92209668361,0.9877640303506733,0.7699298326286441
C3N-01012,4921,0.29500282717593507,0.014109979355823213,10474.565956542128,0.9859784596626702,0.6808892392793388
C3N-01165,1724,0.3481048475475571,0.023979329489431878,7183.900816006236,0.9918793503480279,0.7822368130073308
C3N-01166,2305,0.2559324678720466,0.01776161860723796,9773.758514945708,0.9466377440347071,0.6938575515183572
C3N-01167,2241,0.3407252715657008,0.02349802412414337,10905.71727812144,0.9946452476572959,0.7670088141020497
C3N-01168,2237,0.3568962209449584,0.019237907115812886,8875.305327740625,0.9959767545820295,0.7479861575223479
C3N-01169,2283,0.3099069444252977,0.017447418862956143,18353.64402773644,0.9903635567236093,0.7128471452121513
C3N-01375,2900,0.37416182439902734,0.01672068723948328,12940.889007587246,0.9986206896551724,0.7283649759472868
C3N-01378,2034,0.3152604402686701,0.009018514739140657,13393.085034118883,0.9990167158308751,0.6023967827287643
C3N-01379,4493,0.26274980752234095,0.013516001394778918,13116.166189706068,0.9764077453817048,0.6514489562168211
C3N-01380,2689,0.27290941535866853,0.011832392754614618,12757.524815606313,0.9903309780587579,0.6340541790995265
C3N-01381,4337,0.3032005396344116,0.01934128823960883,13880.019851726063,0.9707170855430021,0.7431628659991696
C3N-01382,3492,0.2914084379656191,0.020857437676028504,16484.56491421722,0.9725085910652921,0.7351599650990505
C3N-01383,2202,0.32822575607589977,0.013190041874596867,6860.015780106289,0.9986376021798365,0.674933519744077
C3N-01388,2234,0.405278671909734,0.016919556042808398,12672.813362114846,0.999104744852283,0.7357487965101539
C3N-01389,2743,0.3276838321215668,0.011672135069664524,16074.981547395491,0.997083485235144,0.6528818754376041
C3N-01502,1896,0.3531295942193691,0.018764237154214464,10125.713427426945,0.9899789029535865,0.7532101019125804
C3N-01714,957,0.34666746148650796,0.01463055189940525,14045.930641823157,1.0,0.6858312521398777
C3N-01715,2717,0.33738125345978526,0.012929276533499942,9530.168663363778,0.9981597350018403,0.6720716021129325
C3N-01716,2282,0.26386124480721407,0.013016747336115464,14151.054316640797,0.9868536371603857,0.6383649669109108
C3N-01719,3683,0.3924786522438304,0.013470933909002808,14674.325837020006,1.0,0.6915644093687707
C3N-01897,4086,0.29397035176248976,0.011956114692844425,11648.632086679047,0.9904552129221733,0.65631737385383
C3N-01900,5948,0.2769514120120628,0.014665158622627239,10944.340969405152,0.9784801613987895,0.6766567671160567
C3N-01907,3429,0.3102072147996355,0.015106247269115441,11770.791499716279,0.9880431612715077,0.698640885794549
C3N-01997,6141,0.26461634831859426,0.0175147008365399,4219.090875005313,0.9180915160397329,0.7269019241306532
C3N-01998,6896,0.21095982153377044,0.01019960688414611,4032.9345518542436,0.8880510440835266,0.6163247199463742
